stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.04053] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04057] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04060] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04064] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04067] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04072] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04075] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04079] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04082] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04086] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04089] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04093] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04096] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04100] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04103] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04107] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04110] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04114] Single Buffer requirement not met.
