stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.04212] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04217] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04222] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04226] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04229] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04233] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04237] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04241] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04244] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04248] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04251] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04255] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04258] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04262] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04265] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04269] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04272] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04276] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04279] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04282] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04286] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04289] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04293] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04296] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04299] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04303] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04306] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04310] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04313] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04317] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04320] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04323] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04330] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04335] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04345] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04358] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04361] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04373] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04378] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04383] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04387] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04391] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04397] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04404] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04409] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04412] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04418] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04422] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04426] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04429] Score is : 769
